
21,21,19,19,10,10,22,22,16,16,33,33,31,31,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,29,29,3,3,20,20,24,24,5,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,7,7,23,23,18,18,32,32,4,4,14,14,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,6,6,,,27,27,,,26,26,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,19,19,10,10,22,22,3,3,33,33,31,31,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,29,29,32,32,20,20,24,24,5,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,7,7,23,23,18,18,,,4,4,14,14,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,6,6,,,27,27,,,26,26,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,19,19,10,10,22,22,16,16,33,33,31,31,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,29,29,3,3,20,20,24,24,5,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,7,7,23,23,18,18,32,32,4,4,14,14,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,6,6,,,27,27,,,26,26,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,19,19,10,10,22,22,3,3,33,33,31,31,28,28,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,18,18,32,32,20,20,24,24,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,7,7,23,23,27,27,,,26,26,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
